account_id,customer_id,account_type,account_open_date,account_status,balance,branch_id
A0000001,C002495,Salary,2025-11-25,Closed,469741.3,B0127
A0000002,C000503,Savings,2026-05-15,Active,148270.59,B0073
A0000003,C009352,Salary,2023-01-19,Active,86254.91,B0067
A0000004,C001600,Savings,2022-04-19,Active,271196.87,B0168
A0000005,C008418,Savings,2021-12-24,Active,408274.3,B0128
A0000006,C008027,Salary,2021-09-24,Closed,11829.57,B0031
A0000007,C008392,Savings,2021-09-02,Active,383199.1,B0060
A0000008,C007713,Salary,2022-07-21,Active,399871.0,B0102
A0000009,C004165,Current,2023-10-27,Active,171690.94,B0053
A0000010,C001073,Salary,2026-05-25,Dormant,67339.37,B0118
A0000011,C003328,Salary,2025-06-10,Closed,209087.37,B0130
A0000012,C006847,Savings,2023-08-13,Active,23911.9,B0093
A0000013,C000839,Savings,2025-06-06,Dormant,171503.52,B0125
A0000014,C005713,Current,2023-03-06,Active,215428.39,B0177
A0000015,C004619,Savings,2021-09-25,Active,274349.65,
A0000016,C006896,Salary,2025-07-07,Dormant,336446.56,B0100
A0000017,C002447,Savings,2025-12-12,Dormant,66665.2,B0051
A0000018,C001703,Savings,2022-11-19,Active,410330.0,B0063
A0000019,C004270,Current,2024-12-12,Active,249981.51,B0014
A0000020,C008648,Current,2021-11-15,Active,197747.52,B0167
A0000021,C003548,Savings,2022-02-04,Closed,384008.79,B0171
A0000022,C004083,Salary,2022-10-01,Closed,435125.32,B0028
A0000023,C002128,Savings,2024-08-05,Dormant,336552.38,B0170
A0000024,C002012,Salary,2025-11-25,Closed,198917.16,B0198
A0000025,C004211,Salary,2024-12-23,Active,486127.2,B0109
A0000026,C004903,Salary,2022-08-10,Dormant,55578.57,B0105
A0000027,C002842,Savings,2025-05-13,Dormant,478389.64,B0023
A0000028,C008485,Savings,2025-07-04,Closed,398319.47,B0100
A0000029,C005056,Savings,2023-07-30,Active,212364.41,B0076
A0000030,C006274,Salary,2023-05-24,Closed,138000.21,B0014
A0000031,C008890,Current,2023-04-08,Dormant,71642.48,B0092
A0000032,C009177,Salary,2026-02-18,Active,146273.23,B0092
A0000033,C003049,Salary,2022-03-02,Active,234587.03,B0185
A0000034,C005134,Savings,2025-07-05,Active,383989.88,B0188
A0000035,C000417,Savings,2023-07-21,Active,384860.15,B0166
A0000036,C004834,Savings,2023-09-04,Active,421406.62,B0196
A0000037,C007013,Savings,2022-03-20,Active,204933.2,B0113
A0000038,C009783,Salary,2023-09-17,Closed,471964.0,B0187
A0000039,C003487,Current,2026-07-30,Closed,449015.24,B0077
A0000040,C004961,Salary,2021-08-18,Closed,495243.73,
A0000041,C005486,Salary,2025-06-29,Closed,210671.79,B0049
A0000042,C005993,Savings,2024-08-14,Active,203419.46,B0091
A0000043,C009660,Salary,2022-07-21,Active,477327.83,B0067
A0000044,C001939,Savings,2025-04-29,Closed,460814.39,B0155
A0000045,C006721,Current,2021-10-07,Dormant,288918.6,B0116
A0000046,C006371,Current,2022-02-11,Active,116640.48,B0141
A0000047,C007129,Current,2024-12-22,Dormant,351966.28,B0091
A0000048,C008598,Savings,2025-12-07,Dormant,374000.99,B0012
A0000049,C006241,Salary,2024-01-18,Active,440544.78,B0128
A0000050,C002255,Current,2026-03-29,Active,4318.96,B0035
A0000051,C002174,Savings,2026-07-13,Active,84813.54,B0085
A0000052,C003736,Current,2024-12-03,Closed,33702.84,B0090
A0000053,C009275,Savings,2022-11-14,Dormant,348248.87,B0069
A0000054,C007841,Current,2023-05-18,Dormant,128425.45,B0170
A0000055,C004332,Salary,2024-07-18,Closed,115655.88,B0116
A0000056,C001461,Savings,2024-03-22,Active,366719.79,B0001
A0000057,C003735,Salary,2023-12-19,Active,299041.53,B0033
A0000058,C005276,Current,2025-08-16,Active,202243.31,B0189
A0000059,C004043,Savings,2022-04-03,Dormant,171469.5,B0042
A0000060,C002986,Savings,2026-07-25,Closed,245771.69,B0137
A0000061,C000679,Savings,2025-12-31,Closed,404754.51,B0119
A0000062,C001428,Savings,2022-03-11,Dormant,435161.05,B0054
A0000063,C007895,Salary,2025-07-17,Active,202942.64,B0095
A0000064,C000207,Savings,2026-06-26,Dormant,319787.34,B0048
A0000065,C007292,Current,2023-03-18,Active,180033.29,B0177
A0000066,C003330,Savings,2026-03-05,Active,441763.52,B0020
A0000067,C004379,Savings,2022-10-19,Active,251046.84,B0157
A0000068,C007542,Salary,2024-02-13,Dormant,274787.19,B0184
A0000069,C004744,Current,2022-11-17,Active,239298.26,B0170
A0000070,C009710,Savings,2023-07-20,Closed,108265.87,B0082
A0000071,C000322,Current,2021-09-13,Closed,244279.43,B0146
A0000072,C002121,Current,2023-02-10,Closed,327748.27,B0121
A0000073,C006394,Savings,2026-04-21,Closed,51240.1,B0170
A0000074,C003260,Savings,2022-05-16,Dormant,6563.5,B0107
A0000075,C006764,Savings,2022-05-08,Dormant,421819.22,B0198
